SentimentText;Sentiment
The food was absolutely delicious and the service was excellent.;1
I waited too long for my meal and it was cold when it arrived.;0
The staff was very friendly and welcoming.;1
The place was dirty and smelled terrible.;0
Best dining experience I’ve had in years!;1
I will never come back, totally disappointed.;0
The portions were generous and the price was fair.;1
The waiter was rude and ignored our table.;0
The atmosphere was cozy and relaxing.;1
The steak was overcooked and had no flavor.;0
Everything was perfect, from the appetizers to the dessert.;1
The drinks were watered down and overpriced.;0
Highly recommend this restaurant to everyone!;1
The service was slow and unprofessional.;0
The pizza was fresh, hot, and tasty.;1
The soup was bland and tasted like water.;0
Lovely place for a family dinner, kids loved it.;1
Worst restaurant in town, waste of money.;0
The burger was juicy and perfectly cooked.;1
I got food poisoning after eating here.;0
Fast service, friendly staff, great food.;1
The chairs were uncomfortable and the table was sticky.;0
I had a wonderful evening, everything was top notch.;1
The menu was limited and nothing looked appetizing.;0
Excellent value for money, will visit again.;1
Terrible experience, I left hungry and angry.;0
The desserts were heavenly, especially the chocolate cake.;1
The coffee was burnt and tasted awful.;0
Great music, nice vibe, and tasty cocktails.;1
The salad was wilted and not fresh at all.;0
Friendly staff, clean place, loved it.;1
Food was cold and tasteless, never coming back.;0
Amazing ambiance, highly recommended.;1
The soup was over-seasoned and inedible.;0
Wonderful service, will come again soon.;1
The steak was undercooked and chewy.;0
Perfect spot for a romantic dinner.;1
I found a hair in my salad, disgusting.;0
Fast delivery, food arrived hot and fresh.;1
Service was apathetic and inattentive.;0
Best pizza I have ever had!;1
The fish was spoiled and the rice was hard.;0
The staff went above and beyond to help.;1
My order was incorrect and they refused to fix it.;0
Lovely interior and great cocktails.;1
The place was noisy and crowded, ruined the experience.;0
Tasty pasta and generous portions.;1
The waiter spilled water on our table and didn’t apologize.;0
Fantastic brunch, everything cooked perfectly.;1
The dessert was stale and flavorless.;0
Very clean, comfortable seating, excellent service.;1
I had to wait 45 minutes just to get a menu.;0
Superb coffee and pastries, highly recommend.;1
The food was greasy and overpriced.;0
Friendly barista, excellent cappuccino.;1
The burger was burnt and dry.;0
Loved the sushi, fresh and delicious.;1
The kitchen got our order wrong twice.;0
Amazing experience, staff very attentive.;1
The chairs were wobbly and uncomfortable.;0
Great vibe, live music and excellent drinks.;1
The pasta was cold and overcooked.;0
Fantastic service, quick and polite.;1
The restaurant smelled bad and dirty.;0
High quality ingredients and delicious meals.;1
The soup had no flavor and was too salty.;0
Perfect birthday dinner, everything perfect.;1
The fish was slimy and undercooked.;0
Super friendly staff, made us feel welcome.;1
The table was sticky and the floor was dirty.;0
Delicious brunch, will return soon.;1
The steak was tough and flavorless.;0
Amazing dessert selection and presentation.;1
The service was rude and dismissive.;0
